t	x	u
3.500000	0.200000	0.756883
3.500000	0.300000	1.120762
3.500000	0.400000	1.485049
3.500000	0.500000	1.849787
3.500000	0.600000	2.215023
3.500000	0.700000	2.580810
3.500000	0.800000	2.947206
3.500000	0.900000	3.314274
3.500000	1.000000	3.682085
3.500000	1.100000	4.050718
3.500000	1.200000	4.420259
3.600000	0.000000	0.027324
3.600000	0.100000	0.400197
3.600000	0.200000	0.773373
3.600000	0.300000	1.146883
3.600000	0.400000	1.520762
3.600000	0.500000	1.895049
3.600000	0.600000	2.269787
3.600000	0.700000	2.645023
3.600000	0.800000	3.020810
3.600000	0.900000	3.397206
3.600000	1.000000	3.774274
3.600000	1.100000	4.152085
3.600000	1.200000	4.530718
3.700000	0.000000	0.024724
3.700000	0.100000	0.407324
3.700000	0.200000	0.790197
3.700000	0.300000	1.173373
3.700000	0.400000	1.556883
3.700000	0.500000	1.940762
3.700000	0.600000	2.325049
3.700000	0.700000	2.709787
3.700000	0.800000	3.095023
3.700000	0.900000	3.480810
3.700000	1.000000	3.867206
3.700000	1.100000	4.254274
3.700000	1.200000	4.642085
3.800000	0.000000	0.022371
3.800000	0.100000	0.414724
3.800000	0.200000	0.807324
3.800000	0.300000	1.200197
3.800000	0.400000	1.593373
3.800000	0.500000	1.986883
3.800000	0.600000	2.380762
3.800000	0.700000	2.775049
3.800000	0.800000	3.169787
3.800000	0.900000	3.565023
3.800000	1.000000	3.960810
3.800000	1.100000	4.357206
3.800000	1.200000	4.754274
3.900000	0.000000	0.020242
3.900000	0.100000	0.422371
3.900000	0.200000	0.824724
3.900000	0.300000	1.227324
3.900000	0.400000	1.630197
3.900000	0.500000	2.033373
3.900000	0.600000	2.436883
3.900000	0.700000	2.840762
3.900000	0.800000	3.245049
3.900000	0.900000	3.649787
3.900000	1.000000	4.055023
3.900000	1.100000	4.460810
3.900000	1.200000	4.867206
4.000000	0.000000	0.018316
4.000000	0.100000	0.430242
4.000000	0.200000	0.842371
4.000000	0.300000	1.254724
4.000000	0.400000	1.667324
4.000000	0.500000	2.080197
4.000000	0.600000	2.493373
4.000000	0.700000	2.906883
4.000000	0.800000	3.320762
4.000000	0.900000	3.735049
4.000000	1.000000	4.149787
4.000000	1.100000	4.565023
4.000000	1.200000	4.980810
4.100000	0.000000	0.016573
4.100000	0.100000	0.438316
4.100000	0.200000	0.860242
4.100000	0.300000	1.282371
4.100000	0.400000	1.704724
4.100000	0.500000	2.127324
4.100000	0.600000	2.550197
4.100000	0.700000	2.973373
4.100000	0.800000	3.396883
4.100000	0.900000	3.820762
4.100000	1.000000	4.245049
4.100000	1.100000	4.669787
4.100000	1.200000	5.095023
4.200000	0.000000	0.014996
4.200000	0.100000	0.446573
4.200000	0.200000	0.878316
4.200000	0.300000	1.310242
4.200000	0.400000	1.742371
4.200000	0.500000	2.174724
4.200000	0.600000	2.607324
4.200000	0.700000	3.040197
4.200000	0.800000	3.473373
4.200000	0.900000	3.906883
4.200000	1.000000	4.340762
4.200000	1.100000	4.775049
4.200000	1.200000	5.209787
4.300000	0.000000	0.013569
4.300000	0.100000	0.454996
4.300000	0.200000	0.896573
4.300000	0.300000	1.338316
4.300000	0.400000	1.780242
4.300000	0.500000	2.222371
4.300000	0.600000	2.664724
4.300000	0.700000	3.107324
4.300000	0.800000	3.550197
4.300000	0.900000	3.993373
4.300000	1.000000	4.436883
4.300000	1.100000	4.880762
4.300000	1.200000	5.325049
4.400000	0.000000	0.012277
4.400000	0.100000	0.463569
4.400000	0.200000	0.914996
4.400000	0.300000	1.366573
4.400000	0.400000	1.818316
4.400000	0.500000	2.270242
4.400000	0.600000	2.722371
4.400000	0.700000	3.174724
4.400000	0.800000	3.627324
4.400000	0.900000	4.080197
4.400000	1.000000	4.533373
4.400000	1.100000	4.986883
4.400000	1.200000	5.440762
4.500000	0.000000	0.011109
4.500000	0.100000	0.472277
4.500000	0.200000	0.933569
4.500000	0.300000	1.394996
4.500000	0.400000	1.856573
4.500000	0.500000	2.318316
4.500000	0.600000	2.780242
4.500000	0.700000	3.242371
4.500000	0.800000	3.704724
4.500000	0.900000	4.167324
4.500000	1.000000	4.630197
4.500000	1.100000	5.093373
4.500000	1.200000	5.556883
4.600000	0.000000	0.010052
4.600000	0.100000	0.481109
4.600000	0.200000	0.952277
4.600000	0.300000	1.423569
4.600000	0.400000	1.894996
4.600000	0.500000	2.366573
4.600000	0.600000	2.838316
4.600000	0.700000	3.310242
4.600000	0.800000	3.782371
4.600000	0.900000	4.254724
4.600000	1.000000	4.727324
4.600000	1.100000	5.200197
4.600000	1.200000	5.673373
4.700000	0.000000	0.009095
4.700000	0.100000	0.490052
4.700000	0.200000	0.971109
4.700000	0.300000	1.452277
4.700000	0.400000	1.933569
4.700000	0.500000	2.414996
4.700000	0.600000	2.896573
4.700000	0.700000	3.378316
4.700000	0.800000	3.860242
4.700000	0.900000	4.342371
4.700000	1.000000	4.824724
4.700000	1.100000	5.307324
4.700000	1.200000	5.790197
